csd_code,q,Stoichiometry,num_atoms,ligands_list,tm_oxs,ligands_q_list,reduction_pot
HOLHUO,0,C12H14FeN4O10,41,"['Cc1nc(C(=O)[O-])c(C(=O)O)[nH]1', 'Cc1nc(C(=O)[O-])c(C(=O)O)[nH]1', 'O', 'O']",2,"[-1, -1, 0, 0]",0.6452362481581273
UPOWOO,0,C17H21Cl2FeN3,44,"['CN1Cc2cccc(c2)CN(C)Cc2cccc(n2)C1', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",0.14782016958225946
TACSAU,0,C10H16Cl2FeN4Se2,35,"['Cn1ccn(C)c1=[Se]', 'Cn1ccn(C)c1=[Se]', '[Cl-]', '[Cl-]']",2,"[0, 0, -1, -1]",-0.5122393149525399
LULSET,0,C11H12FeO3S2,29,"['CC(C)SC(=O)[S-]', '[C-]#[O+]', '[C-]#[O+]', 'c1cc[cH-]c1']",2,"[-1, 0, 0, -1]",0.9005096248644457
GESMAW,0,C8H3Br5FeO2,19,"['Brc1c(Br)c(Br)[c-](Br)c1Br', '[C-]#[O+]', '[C-]#[O+]', '[CH3-]']",2,"[-1, 0, 0, -1]",0.5131739368223147
GEVKAV,0,C12H8FeN4S2,27,"['[N-]=C=S', '[N-]=C=S', 'c1ccc(-c2ccccn2)nc1']",2,"[-1, -1, 0]",0.5679403613735203
HUNBEZ,0,C17H21Cl2FeN5,46,"['CC(C)n1ccc(-c2cccc(-c3ccn(C(C)C)n3)n2)n1', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",0.30311074222855156
AHINIR,0,C16H20Cl2FeN6O4,49,"['CN(CCN(C)Cc1cc([N+](=O)[O-])ccn1)Cc1cc([N+](=O)[O-])ccn1', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",0.2615726224983755
HUPWAQ,0,C15H16FeO3Si,36,"['[C-]#[O+]', '[C-]#[O+]', '[CH2-][Si](C)(O)c1ccccc1', 'c1cc[cH-]c1']",2,"[0, 0, -1, -1]",0.8371687461374309
KOZZUX,0,C5H10FeN10O9,35,"['O', 'O', 'O', 'O', 'O=C(c1n[nH]c(=N[N+](=O)[O-])[n-]1)c1n[nH]c(=N[N+](=O)[O-])[n-]1']",2,"[0, 0, 0, 0, -2]",1.0292499246308393
SAQKEE,0,C16H18Cl2FeN2,39,"['CC(=Nc1ccccc1C(C)C)c1ccccn1', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",0.5209440479954235
REGZAI,0,C6H12FeN6O10,35,"['Nc1nonc1C(=O)[O-]', 'Nc1nonc1C(=O)[O-]', 'O', 'O', 'O', 'O']",2,"[-1, -1, 0, 0, 0, 0]",1.073045195264777
DECLEE,0,C11H19Cl2FeN2PSe,37,"['CC(C)P(=[Se])(Nc1ccccn1)C(C)C', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",0.2124911054291621
FIJSEA,0,C6H12FeN2O8,29,"['CC(=NO)C(=O)[O-]', 'CC(=NO)C(=O)[O-]', 'O', 'O']",2,"[-1, -1, 0, 0]",0.9214593077970272
GIGGIN,0,C17H20Cl2FeN4O,45,"['CN(C)C=O', 'Cc1cccc(-c2nc3ccccc3n2C)n1', '[Cl-]', '[Cl-]']",2,"[0, 0, -1, -1]",0.02458873316063298
HIFBUW,-1,C20H17Cl2FeN4(1-),44,"['Cc1ccc(C(N=Nc2ccccc2)=N[N-]c2ccccc2)cc1', '[Cl-]', '[Cl-]']",2,"[-1, -1, -1]",-0.01196202701883936
ZOMJUK,0,C12H28Cl2FeN6,49,"['CN(C)C(=NCCN=C(N(C)C)N(C)C)N(C)C', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",-0.14289494094893945
ZOMKIZ,0,C12H20Cl2FeN4,39,"['CN(C)C(=NCCc1ccccn1)N(C)C', '[Cl-]', '[Cl-]']",2,"[0, -1, -1]",-0.12961414601567184
YASPUE,0,C4H12FeN10S4,31,"['NNC(=S)NN', 'NNC(=S)NN', '[N-]=C=S', '[N-]=C=S']",2,"[0, 0, -1, -1]",-0.04907474932601569
KOXPUK,0,C10H10FeI2N6O2S2,33,"['Ic1cnccn1', 'Ic1cnccn1', 'O', 'O', '[N-]=C=S', '[N-]=C=S']",2,"[0, 0, 0, 0, -1, -1]",0.8019172050094505
RISLIS,0,C15H14FeINO3S,36,"['[C-]#[N+]CS(=O)(=O)c1ccc(C)cc1', '[C-]#[O+]', '[I-]', 'c1cc[cH-]c1']",2,"[0, 0, -1, -1]",0.5464201899405363
